gene_name	Ensemble_id
SLC7A14	ENSG00000013293
SLC25A39	ENSG00000013306
NUB1	ENSG00000013374
PGM3	ENSG00000013375
RWDD2A	ENSG00000013392
CLK1	ENSG00000013441
POLR3B	ENSG00000013503
ANGEL1	ENSG00000013523
RNF14	ENSG00000013561
DDX11	ENSG00000013573
MAMLD1	ENSG00000013619
UFL1	ENSG00000014123
ZC3H3	ENSG00000014164
CAPN1	ENSG00000014216
MDH1	ENSG00000014641
SLC30A9	ENSG00000014824
COX15	ENSG00000014919
YAF2	ENSG00000015153
ZMYND11	ENSG00000015171
BID	ENSG00000015475
MATR3	ENSG00000015479
XYLT2	ENSG00000015532
STMN4	ENSG00000015592
NUDCD3	ENSG00000015676
CHDH	ENSG00000016391
GLT8D1	ENSG00000016864
ATP2C1	ENSG00000017260
SLC38A5	ENSG00000017483
RUFY3	ENSG00000018189
CNTN1	ENSG00000018236
CXorf56	ENSG00000018610
TTC27	ENSG00000018699
PHLDB1	ENSG00000019144
NCDN	ENSG00000020129
ZFP64	ENSG00000020256
MNAT1	ENSG00000020426
PLEKHB1	ENSG00000021300
SPAST	ENSG00000021574
OSBPL5	ENSG00000021762
AQR	ENSG00000021776
FHL1	ENSG00000022267
RTFDC1	ENSG00000022277
RNF10	ENSG00000022840
ZDHHC6	ENSG00000023041
GRAMD1B	ENSG00000023171
RNH1	ENSG00000023191
NDUFS1	ENSG00000023228
RB1CC1	ENSG00000023287
ERP44	ENSG00000023318
ALAS1	ENSG00000023330
AKAP11	ENSG00000023516
GLRX2	ENSG00000023572
SNAPC1	ENSG00000023608
DERA	ENSG00000023697
STRAP	ENSG00000023734
PLEKHO1	ENSG00000023902
UBR2	ENSG00000024048
CCDC28A	ENSG00000024862
HSF2	ENSG00000025156
PHF20	ENSG00000025293
NR1H3	ENSG00000025434
NCAPH2	ENSG00000025770
TOMM34	ENSG00000025772
SEC63	ENSG00000025796
KPNA6	ENSG00000025800
RNASET2	ENSG00000026297
AGPAT4	ENSG00000026652
BTN3A1	ENSG00000026950
IFNGR1	ENSG00000027697
B4GALT7	ENSG00000027847
VEZT	ENSG00000028203
BRD9	ENSG00000028310
SNX1	ENSG00000028528
TBPL1	ENSG00000028839
BCLAF1	ENSG00000029363
SLC39A9	ENSG00000029364
TFB1M	ENSG00000029639
RABEP1	ENSG00000029725
HMGB3	ENSG00000029993
NUP160	ENSG00000030066
BAK1	ENSG00000030110
GRN	ENSG00000030582
FAM13B	ENSG00000031003
ARHGAP31	ENSG00000031081
CENPQ	ENSG00000031691
SARS	ENSG00000031698
RANBP3	ENSG00000031823
ARID4A	ENSG00000032219
TSSC1	ENSG00000032389
PNPLA6	ENSG00000032444
IFT88	ENSG00000032742
ALG1	ENSG00000033011
ZCCHC8	ENSG00000033030
ABCF2	ENSG00000033050
FUT8	ENSG00000033170
UBA6	ENSG00000033178
GAB2	ENSG00000033327
ATP6V0A1	ENSG00000033627
PIAS1	ENSG00000033800
APBA2	ENSG00000034053
TMSB10	ENSG00000034510
ASTE1	ENSG00000034533
RNF19A	ENSG00000034677
PEX3	ENSG00000034693
GABARAPL2	ENSG00000034713
SH3YL1	ENSG00000035115
FAM136A	ENSG00000035141
NSMAF	ENSG00000035681
ADSS	ENSG00000035687
TIMP2	ENSG00000035862
RFC1	ENSG00000035928
TBC1D23	ENSG00000036054
USP2	ENSG00000036672
TUBG2	ENSG00000037042
RPL26L1	ENSG00000037241
NSUN2	ENSG00000037474
FBXO42	ENSG00000037637
MRI1	ENSG00000037757
METTL1	ENSG00000037897
AGA	ENSG00000038002
MAT2B	ENSG00000038274
EDC4	ENSG00000038358
VCAN	ENSG00000038427
CLEC16A	ENSG00000038532
SKIV2L2	ENSG00000039123
ZFYVE16	ENSG00000039319
FAM65A	ENSG00000039523
SPDL1	ENSG00000040275
STAU2	ENSG00000040341
PQLC2	ENSG00000040487
CTNS	ENSG00000040531
PHF23	ENSG00000040633
CDH10	ENSG00000040731
PSMA4	ENSG00000041357
LSG1	ENSG00000041802
PARP3	ENSG00000041880
THAP3	ENSG00000041988
SPATA7	ENSG00000042317
MED17	ENSG00000042429
RETSAT	ENSG00000042445
AP2S1	ENSG00000042753
DCUN1D1	ENSG00000043093
TRIT1	ENSG00000043514
CTNNA1	ENSG00000044115
HSPA5	ENSG00000044574
GEMIN8	ENSG00000046647
OFD1	ENSG00000046651
GPM6B	ENSG00000046653
PREX2	ENSG00000046889
WDR37	ENSG00000047056
YTHDC2	ENSG00000047188
CTPS2	ENSG00000047230
ATP6V1H	ENSG00000047249
POLR2B	ENSG00000047315
FAM214A	ENSG00000047346
TPR	ENSG00000047410
DTNBP1	ENSG00000047579
C12orf4	ENSG00000047621
MAP4	ENSG00000047849
GOPC	ENSG00000047932
HDAC9	ENSG00000048052
TSPAN17	ENSG00000048140
NOP16	ENSG00000048162
CC2D2A	ENSG00000048342
ZNF800	ENSG00000048405
LMO3	ENSG00000048540
MRPS10	ENSG00000048544
RSF1	ENSG00000048649
CELF2	ENSG00000048740
FAM120A	ENSG00000048828
R3HDM1	ENSG00000048991
ERCC8	ENSG00000049167
VAMP3	ENSG00000049245
RCN1	ENSG00000049449
ELN	ENSG00000049540
RFC2	ENSG00000049541
ARID1B	ENSG00000049618
CLPTM1L	ENSG00000049656
HEXB	ENSG00000049860
PTCD2	ENSG00000049883
JKAMP	ENSG00000050130
DKK3	ENSG00000050165
CCDC90A	ENSG00000050393
LIMA1	ENSG00000050405
LETMD1	ENSG00000050426
SLC4A8	ENSG00000050438
MAPK9	ENSG00000050748
BCAR1	ENSG00000050820
FAM160A2	ENSG00000051009
HERPUD1	ENSG00000051108
THOC3	ENSG00000051596
MSMO1	ENSG00000052802
TTC17	ENSG00000052841
FOXN3	ENSG00000053254
AKR7A2	ENSG00000053371
MRTO4	ENSG00000053372
USE1	ENSG00000053501
AP5M1	ENSG00000053770
ANAPC4	ENSG00000053900
TRAPPC3	ENSG00000054116
THRAP3	ENSG00000054118
PHPT1	ENSG00000054148
ARID4B	ENSG00000054267
SDCCAG8	ENSG00000054282
PTPRN	ENSG00000054356
KIF1B	ENSG00000054523
SYNE2	ENSG00000054654
ATP9A	ENSG00000054793
FAM168A	ENSG00000054965
GALC	ENSG00000054983
NOP58	ENSG00000055044
SZRD1	ENSG00000055070
CUL1	ENSG00000055130
FAM114A2	ENSG00000055147
CYFIP2	ENSG00000055163
TAB2	ENSG00000055208
GINM1	ENSG00000055211
EIF2AK2	ENSG00000055332
USP36	ENSG00000055483
MLL3	ENSG00000055609
PUM2	ENSG00000055917
MRPL43	ENSG00000055950
C4orf27	ENSG00000056050
ZFR	ENSG00000056097
PHF21B	ENSG00000056487
RC3H2	ENSG00000056586
IL17RB	ENSG00000056736
TRAF3IP2	ENSG00000056972
SOAT1	ENSG00000057252
GDI2	ENSG00000057608
ATG5	ENSG00000057663
PITHD1	ENSG00000057757
MTA3	ENSG00000057935
CDK14	ENSG00000058091
SEC61A1	ENSG00000058262
PPP1R12A	ENSG00000058272
POLR3E	ENSG00000058600
ATP2B4	ENSG00000058668
ZC3H11A	ENSG00000058673
RIOK2	ENSG00000058729
YIPF1	ENSG00000058799
DGKG	ENSG00000058866
FLYWCH1	ENSG00000059122
UNKL	ENSG00000059145
ALDH18A1	ENSG00000059573
TARBP1	ENSG00000059588
PET112	ENSG00000059691
MXD1	ENSG00000059728
CDK17	ENSG00000059758
WNK1	ENSG00000060237
CCAR1	ENSG00000060339
SNRNP40	ENSG00000060688
MPC1	ENSG00000060762
ACAA1	ENSG00000060971
NCKAP1	ENSG00000061676
MRPS35	ENSG00000061794
GUCY1B3	ENSG00000061918
SFSWAP	ENSG00000061936
TNK2	ENSG00000061938
MON2	ENSG00000061987
GPBP1	ENSG00000062194
CS	ENSG00000062485
MRPS24	ENSG00000062582
ELMO2	ENSG00000062598
WAPAL	ENSG00000062650
VMP1	ENSG00000062716
APPBP2	ENSG00000062725
SEZ6	ENSG00000063015
EIF4B	ENSG00000063046
SPHK2	ENSG00000063176
RPL18	ENSG00000063177
ISOC2	ENSG00000063241
MED29	ENSG00000063322
ZNF275	ENSG00000063587
MTMR1	ENSG00000063601
GPC1	ENSG00000063660
ADCK1	ENSG00000063761
HAGH	ENSG00000063854
RNF4	ENSG00000063978
LIMCH1	ENSG00000064042
ASUN	ENSG00000064102
TM7SF3	ENSG00000064115
SPA17	ENSG00000064199
TAF2	ENSG00000064313
HIPK2	ENSG00000064393
TNPO3	ENSG00000064419
RFXANK	ENSG00000064490
TMEM161A	ENSG00000064545
LPAR2	ENSG00000064547
CTSA	ENSG00000064601
SUGP2	ENSG00000064607
SLC12A2	ENSG00000064651
SNX24	ENSG00000064652
SNCAIP	ENSG00000064692
BTBD1	ENSG00000064726
PMS1	ENSG00000064933
HMG20B	ENSG00000064961
CALCRL	ENSG00000064989
TAF11	ENSG00000064995
AP3D1	ENSG00000065000
ZNF76	ENSG00000065029
NTHL1	ENSG00000065057
GNAI3	ENSG00000065135
IPO5	ENSG00000065150
OAT	ENSG00000065154
WDR18	ENSG00000065268
DGKA	ENSG00000065357
ERBB3	ENSG00000065361
ANKRD44	ENSG00000065413
KARS	ENSG00000065427
ADAT1	ENSG00000065457
NDUFB4	ENSG00000065518
ZC3H15	ENSG00000065548
MAP2K4	ENSG00000065559
TMEM206	ENSG00000065600
SNAP91	ENSG00000065609
CYB5R4	ENSG00000065615
GSTO2	ENSG00000065621
SEC61A2	ENSG00000065665
MTHFD2	ENSG00000065911
FOXJ2	ENSG00000065970
YBX1	ENSG00000065978
CTNNA2	ENSG00000066032
DIP2B	ENSG00000066084
SMARCD1	ENSG00000066117
KDM4A	ENSG00000066135
NFYC	ENSG00000066136
ELOVL1	ENSG00000066322
ZNRD1	ENSG00000066379
MPPED2	ENSG00000066382
GOLGA5	ENSG00000066455
LRRC40	ENSG00000066557
ISOC1	ENSG00000066583
TRMT11	ENSG00000066651
THUMPD1	ENSG00000066654
MSANTD3	ENSG00000066697
MYO9A	ENSG00000066933
DDX3Y	ENSG00000067048
PFKP	ENSG00000067057
IDI1	ENSG00000067064
KLF6	ENSG00000067082
PPAP2A	ENSG00000067113
NEO1	ENSG00000067141
TRAM1	ENSG00000067167
CACNB1	ENSG00000067191
STOML1	ENSG00000067221
PKM	ENSG00000067225
DHX29	ENSG00000067248
DNTTIP2	ENSG00000067334
METTL22	ENSG00000067365
TP53BP1	ENSG00000067369
TRO	ENSG00000067445
RRP15	ENSG00000067533
RHOA	ENSG00000067560
DHX8	ENSG00000067596
PMS2P4	ENSG00000067601
PRKCZ	ENSG00000067606
IARS2	ENSG00000067704
IDH3G	ENSG00000067829
ROGDI	ENSG00000067836
PDZD4	ENSG00000067840
ROCK1	ENSG00000067900
CBFB	ENSG00000067955
HYAL2	ENSG00000068001
RASSF1	ENSG00000068028
IFI35	ENSG00000068079
HEATR6	ENSG00000068097
COASY	ENSG00000068120
OTUD5	ENSG00000068308
TBC1D25	ENSG00000068354
ACSL4	ENSG00000068366
GPKOW	ENSG00000068394
GRIPAP1	ENSG00000068400
FTSJ1	ENSG00000068438
REEP1	ENSG00000068615
POLR1A	ENSG00000068654
LAPTM4A	ENSG00000068697
IP6K2	ENSG00000068745
SRBD1	ENSG00000068784
KIF2A	ENSG00000068796
SIRT2	ENSG00000068903
ERLEC1	ENSG00000068912
NUP133	ENSG00000069248
NUCKS1	ENSG00000069275
VPS35	ENSG00000069329
DNAJA2	ENSG00000069345
ABCC9	ENSG00000069431
FUNDC1	ENSG00000069509
ATP1B3	ENSG00000069849
PIGB	ENSG00000069943
MAPK6	ENSG00000069956
GNB5	ENSG00000069966
CECR5	ENSG00000069998
UFD1L	ENSG00000070010
LRP6	ENSG00000070018
PHRF1	ENSG00000070047
IKBKAP	ENSG00000070061
NUCB2	ENSG00000070081
PFN2	ENSG00000070087
SLC44A1	ENSG00000070214
SMG6	ENSG00000070366
EXOC5	ENSG00000070367
DGCR2	ENSG00000070413
RNF126	ENSG00000070423
ZXDC	ENSG00000070476
JMJD6	ENSG00000070495
POLB	ENSG00000070501
GBA2	ENSG00000070610
NDST1	ENSG00000070614
ASNS	ENSG00000070669
AP3M2	ENSG00000070718
PABPC1	ENSG00000070756
C16orf80	ENSG00000070761
EIF2B3	ENSG00000070785
CDC42	ENSG00000070831
ATP2B1	ENSG00000070961
MAP4K4	ENSG00000071054
RPL31	ENSG00000071082
WDR1	ENSG00000071127
SNX13	ENSG00000071189
RPS6KA2	ENSG00000071242
ING3	ENSG00000071243
VASH1	ENSG00000071246
WBSCR22	ENSG00000071462
SEL1L	ENSG00000071537
ATP6AP1	ENSG00000071553
TCF3	ENSG00000071564
TRIB2	ENSG00000071575
MBD3	ENSG00000071655
HLTF	ENSG00000071794
FAM50A	ENSG00000071859
FAM3A	ENSG00000071889
CPSF1	ENSG00000071894
PDCD2	ENSG00000071994
RDH11	ENSG00000072042
ZFYVE26	ENSG00000072121
EPN2	ENSG00000072134
LIMS2	ENSG00000072163
ASIC4	ENSG00000072182
LNX1	ENSG00000072201
ALDH3A2	ENSG00000072210
TFRC	ENSG00000072274
AFF4	ENSG00000072364
UBE2D1	ENSG00000072401
SMC1A	ENSG00000072501
HSD17B10	ENSG00000072506
CHFR	ENSG00000072609
TRNT1	ENSG00000072756
ACADVL	ENSG00000072778
FBXW11	ENSG00000072803
CRMP1	ENSG00000072832
DERL2	ENSG00000072849
AP1M1	ENSG00000072958
PVR	ENSG00000073008
XRCC1	ENSG00000073050
SCARB1	ENSG00000073060
MCM2	ENSG00000073111
NLE1	ENSG00000073536
SDHA	ENSG00000073578
SMARCE1	ENSG00000073584
KDM5A	ENSG00000073614
FERMT2	ENSG00000073712
MAP3K13	ENSG00000073803
FRY	ENSG00000073910
NSF	ENSG00000073969
CLASP1	ENSG00000074054
MRPS34	ENSG00000074071
CLNS1A	ENSG00000074201
EED	ENSG00000074266
SNCB	ENSG00000074317
TSG101	ENSG00000074319
CA12	ENSG00000074410
NTN4	ENSG00000074527
BCS1L	ENSG00000074582
DPP8	ENSG00000074603
ZNF532	ENSG00000074657
LMAN1	ENSG00000074695
PTPLAD1	ENSG00000074696
ZZEF1	ENSG00000074755
ENO1	ENSG00000074800
C19orf10	ENSG00000074842
TUBE1	ENSG00000074935
KCNQ2	ENSG00000075043
ACTR6	ENSG00000075089
TIPIN	ENSG00000075131
SRI	ENSG00000075142
EIF4G3	ENSG00000075151
NUP37	ENSG00000075188
ACAT1	ENSG00000075239
ZNF638	ENSG00000075292
SLC25A40	ENSG00000075303
TIMM21	ENSG00000075336
ADD2	ENSG00000075340
VPS9D1	ENSG00000075399
ZNF37A	ENSG00000075407
MARK3	ENSG00000075413
SLC25A3	ENSG00000075415
CACNG4	ENSG00000075461
FSCN1	ENSG00000075618
ACTB	ENSG00000075624
RAB7A	ENSG00000075785
BCAP29	ENSG00000075790
SEC31B	ENSG00000075826
SART3	ENSG00000075856
EXOSC7	ENSG00000075914
KIFAP3	ENSG00000075945
MKRN2	ENSG00000075975
MCM6	ENSG00000076003
REXO2	ENSG00000076043
RBM7	ENSG00000076053
BAZ2A	ENSG00000076108
PTPN23	ENSG00000076201
MLH1	ENSG00000076242
UNG	ENSG00000076248
KLHL20	ENSG00000076321
RGS11	ENSG00000076344
TPD52	ENSG00000076554
TRAF4	ENSG00000076604
PAG1	ENSG00000076641
NT5C2	ENSG00000076685
RAP1GAP	ENSG00000076864
ARHGEF1	ENSG00000076928
DGKD	ENSG00000077044
CTTNBP2	ENSG00000077063
ACTL6B	ENSG00000077080
TOP2B	ENSG00000077097
TM9SF3	ENSG00000077147
UBE2T	ENSG00000077152
PPP1R12B	ENSG00000077157
DNAJC10	ENSG00000077232
GTF3C1	ENSG00000077235
USP33	ENSG00000077254
PAK3	ENSG00000077264
DCX	ENSG00000077279
SNRPA	ENSG00000077312
EXOSC5	ENSG00000077348
DYNC1I2	ENSG00000077380
FAM76B	ENSG00000077458
SIRT6	ENSG00000077463
CAPZB	ENSG00000077549
GPR137B	ENSG00000077585
PHF17	ENSG00000077684
UBE2A	ENSG00000077721
FGFR1	ENSG00000077782
MAP2	ENSG00000078018
PIAS2	ENSG00000078043
AMPH	ENSG00000078053
ARAF	ENSG00000078061
MCCC1	ENSG00000078070
ACER3	ENSG00000078124
UBE2K	ENSG00000078140
PIK3C3	ENSG00000078142
TULP3	ENSG00000078246
PPP2R5C	ENSG00000078304
PMS2P1	ENSG00000078319
GNB1	ENSG00000078369
ADCYAP1R1	ENSG00000078549
NRD1	ENSG00000078618
VDAC3	ENSG00000078668
PCM1	ENSG00000078674
TNRC6C	ENSG00000078687
DBC1	ENSG00000078725
ITCH	ENSG00000078747
TP53INP2	ENSG00000078804
SDF4	ENSG00000078808
TOLLIP	ENSG00000078902
UBE2D4	ENSG00000078967
RUNX1T1	ENSG00000079102
THOC1	ENSG00000079134
OSBPL6	ENSG00000079156
SLC1A3	ENSG00000079215
XRCC5	ENSG00000079246
TNS1	ENSG00000079308
SAR1A	ENSG00000079332
FDFT1	ENSG00000079459
PAFAH1B3	ENSG00000079462
OPHN1	ENSG00000079482
KIF22	ENSG00000079616
PGM1	ENSG00000079739
DDX1	ENSG00000079785
EPB41L2	ENSG00000079819
STX7	ENSG00000079950
RABL2B	ENSG00000079974
KEAP1	ENSG00000079999
SLC35C2	ENSG00000080189
RFX3	ENSG00000080298
RIF1	ENSG00000080345
RAB21	ENSG00000080371
SMARCA2	ENSG00000080503
SESN1	ENSG00000080546
SRCAP	ENSG00000080603
KIAA0020	ENSG00000080608
KCNN2	ENSG00000080709
CNOT4	ENSG00000080802
PSEN1	ENSG00000080815
CLDND1	ENSG00000080822
HSP90AA1	ENSG00000080824
DLGAP4	ENSG00000080845
OSTM1	ENSG00000081087
PCNP	ENSG00000081154
EXD2	ENSG00000081177
UBA5	ENSG00000081307
STK17B	ENSG00000081320
CDC14B	ENSG00000081377
ZNF506	ENSG00000081665
JMJD4	ENSG00000081692
DUSP12	ENSG00000081721
AACS	ENSG00000081760
KIAA0141	ENSG00000081791
HSPB11	ENSG00000081870
PHLPP1	ENSG00000081913
SMARCD3	ENSG00000082014
WDR70	ENSG00000082068
STRADB	ENSG00000082146
BZW1	ENSG00000082153
ME2	ENSG00000082212
C5orf22	ENSG00000082213
CCNT2	ENSG00000082258
MRPL22	ENSG00000082515
SEMA5B	ENSG00000082684
XPO1	ENSG00000082898
RNF13	ENSG00000082996
DOPEY1	ENSG00000083097
LYRM2	ENSG00000083099
BCKDHB	ENSG00000083123
KAT6A	ENSG00000083168
TNPO1	ENSG00000083312
PLOD1	ENSG00000083444
DIS3	ENSG00000083520
PIBF1	ENSG00000083535
TDRD3	ENSG00000083544
PDS5B	ENSG00000083642
OXCT1	ENSG00000083720
RRAGB	ENSG00000083750
ZNF324	ENSG00000083812
ZNF671	ENSG00000083814
ZNF586	ENSG00000083828
ZNF446	ENSG00000083838
RPS5	ENSG00000083845
YTHDC1	ENSG00000083896
CHMP2B	ENSG00000083937
PPIE	ENSG00000084072
ZMPSTE24	ENSG00000084073
STARD7	ENSG00000084090
NOA1	ENSG00000084092
GSTP1	ENSG00000084207
APLP2	ENSG00000084234
KIAA1467	ENSG00000084444
WBP11	ENSG00000084463
EIF3I	ENSG00000084623
COL16A1	ENSG00000084636
TXLNA	ENSG00000084652
NCOA1	ENSG00000084676
AGBL5	ENSG00000084693
EFR3B	ENSG00000084710
KIF3C	ENSG00000084731
RAB10	ENSG00000084733
HADHA	ENSG00000084754
MAPRE3	ENSG00000084764
CD59	ENSG00000085063
CD82	ENSG00000085117
ATRX	ENSG00000085224
MYNN	ENSG00000085274
SCAMP1	ENSG00000085365
PREP	ENSG00000085377
SEH1L	ENSG00000085415
WDFY1	ENSG00000085449
MAP3K4	ENSG00000085511
AKR1B1	ENSG00000085662
CPNE3	ENSG00000085719
RRN3	ENSG00000085721
CTTN	ENSG00000085733
MTIF2	ENSG00000085760
DDHD2	ENSG00000085788
CHERP	ENSG00000085872
ATG16L1	ENSG00000085978
USP40	ENSG00000085982
POMGNT1	ENSG00000085998
DNAJA1	ENSG00000086061
CHMP5	ENSG00000086065
NFX1	ENSG00000086102
DIMT1	ENSG00000086189
IPO11	ENSG00000086200
EIF2AK1	ENSG00000086232
EPDR1	ENSG00000086289
SEPHS1	ENSG00000086475
MRPL28	ENSG00000086504
RBM22	ENSG00000086589
TMED2	ENSG00000086598
ZFAND6	ENSG00000086666
TXLNG	ENSG00000086712
HUWE1	ENSG00000086758
ZW10	ENSG00000086827
ALG9	ENSG00000086848
ACOX3	ENSG00000087008
MTMR2	ENSG00000087053
PPP1R15A	ENSG00000087074
HSD17B14	ENSG00000087076
ACHE	ENSG00000087085
FTL	ENSG00000087086
SRRT	ENSG00000087087
BAX	ENSG00000087088
PIGS	ENSG00000087111
PGS1	ENSG00000087157
PSMC5	ENSG00000087191
UIMC1	ENSG00000087206
MMP2	ENSG00000087245
MT3	ENSG00000087250
GNAO1	ENSG00000087258
OGFOD1	ENSG00000087263
ADD1	ENSG00000087274
L2HGDH	ENSG00000087299
TXNDC16	ENSG00000087301
C14orf166	ENSG00000087302
GMCL1	ENSG00000087338
SF3B2	ENSG00000087365
KLHL42	ENSG00000087448
GNAS	ENSG00000087460
DNM1L	ENSG00000087470
PHACTR3	ENSG00000087495
ERGIC2	ENSG00000087502
AAMDC	ENSG00000087884
METTL2A	ENSG00000087995
ALG6	ENSG00000088035
DDX18	ENSG00000088205
EDEM2	ENSG00000088298
PDRG1	ENSG00000088356
EPB41L1	ENSG00000088367
ANKRD10	ENSG00000088448
C3orf18	ENSG00000088543
COQ9	ENSG00000088682
CRLS1	ENSG00000088766
ATRN	ENSG00000088812
SMOX	ENSG00000088826
FKBP1A	ENSG00000088832
NSFL1C	ENSG00000088833
C20orf194	ENSG00000088854
ZNF343	ENSG00000088876
CPXM1	ENSG00000088882
MAVS	ENSG00000088888
XRN2	ENSG00000088930
PLK1S1	ENSG00000088970
DYNLL1	ENSG00000088986
SNX5	ENSG00000089006
RPL6	ENSG00000089009
MAPKAPK5	ENSG00000089022
P2RX7	ENSG00000089041
ESF1	ENSG00000089048
RBBP9	ENSG00000089050
ANAPC5	ENSG00000089053
SLC23A2	ENSG00000089057
TMEM230	ENSG00000089063
GCN1L1	ENSG00000089154
RPLP0	ENSG00000089157
RPH3A	ENSG00000089169
TRMT6	ENSG00000089195
CHGB	ENSG00000089199
PEBP1	ENSG00000089220
BRAP	ENSG00000089234
ERP29	ENSG00000089248
FUS	ENSG00000089280
IGBP1	ENSG00000089289
ZNF302	ENSG00000089335
GRAMD1A	ENSG00000089351
CDIP1	ENSG00000089486
GANAB	ENSG00000089597
RBM41	ENSG00000089682
MLF2	ENSG00000089693
DDX24	ENSG00000089737
ZBTB25	ENSG00000089775
NECAP1	ENSG00000089818
GPATCH2L	ENSG00000089916
LTBP4	ENSG00000090006
BLVRB	ENSG00000090013
SPTLC1	ENSG00000090054
PAPOLA	ENSG00000090060
CCNK	ENSG00000090061
PCBP4	ENSG00000090097
YPEL3	ENSG00000090238
MRPS33	ENSG00000090263
NDUFB2	ENSG00000090266
NUDC	ENSG00000090273
MAEA	ENSG00000090316
